Position FEN;Position description;Algorithm;Strategy;Depth;Duration [ms]
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square evaluation;3;PT0.034157S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square evaluation;4;PT0.14260445S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square evaluation;5;PT1.5114438S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square evaluation;6;PT8.56504735S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square evaluation;7;PT1M5.74137915S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;1;PT0.0005934S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;2;PT0.0024458S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;3;PT0.03458285S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;4;PT0.13447935S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;5;PT1.09066925S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;6;PT3.79444835S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;7;PT30.1688666S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware material evaluation;1;PT0.00054035S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware material evaluation;2;PT0.0024696S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware material evaluation;3;PT0.0255763S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware material evaluation;4;PT0.09306945S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware material evaluation;5;PT0.5523973S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware material evaluation;6;PT2.0674407S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware material evaluation;7;PT10.82941915S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square evaluation;1;PT0.0004558S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square evaluation;2;PT0.002283S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square evaluation;3;PT0.0346586S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square evaluation;4;PT0.14183275S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square evaluation;5;PT1.3285182S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square evaluation;6;PT6.6767795S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square evaluation;7;PT44.68297895S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square material evaluation;1;PT0.0006635S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square material evaluation;2;PT0.00273395S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square material evaluation;3;PT0.03248505S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square material evaluation;4;PT0.1179278S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square material evaluation;5;PT0.83605985S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square material evaluation;6;PT2.87660485S
r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Mid game - fork - short;MiniMaxAlphaBetaSequentialWithCache;Mate aware piece square material evaluation;7;PT15.8972948S

rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware material evaluation;1;PT0.000355S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware material evaluation;2;PT0.01008755S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware material evaluation;3;PT0.40754085S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware material evaluation;4;PT11.19874075S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware material evaluation;5;PT7M12.6116308S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square evaluation;1;PT0.0003324S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square evaluation;2;PT0.0092585S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square evaluation;3;PT0.3760944S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square evaluation;4;PT10.4689208S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square evaluation;5;PT6M46.41091725S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square material evaluation;1;PT0.00048575S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square material evaluation;2;PT0.0134249S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square material evaluation;3;PT0.5500849S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square material evaluation;4;PT15.08307645S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequential;Mate aware piece square material evaluation;5;PT9M43.91548505S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware material evaluation;1;PT0.000426S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware material evaluation;2;PT0.0108068S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware material evaluation;3;PT0.3944786S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware material evaluation;4;PT8.04095575S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware material evaluation;5;PT3M28.23034935S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square evaluation;1;PT0.00048575S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square evaluation;2;PT0.0100124S
