5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Depth 1;Depth 2;Depth 3;Depth 4
MiniMaxSequential (Simple material evaluation);0;11;376;13900
MiniMaxSequential (Mate aware material evaluation);0;13;458;16919
MiniMaxParallel (Simple material evaluation);0;16;51;1828
MiniMaxParallel (Mate aware material evaluation);0;1;46;2121
